symbol,tier,category,notes
SPX,1,index,"S&P 500 Index - Cash-settled, pro mode (Core Daily 0DTE)"
SPY,1,etf,SPDR S&P 500 ETF - Primary 0DTE target (Core Daily 0DTE)
QQQ,1,etf,Invesco QQQ Trust - Primary 0DTE target (Core Daily 0DTE)
IWM,1,etf,iShares Russell 2000 ETF - High volatility (Core Daily 0DTE)
MAGS,1,etf,Mag 7 ETF - Core Daily 0DTE
VIX,1,index,CBOE Volatility Index - Volatility exposure (Core Daily 0DTE)
IBIT,1,etf,iShares Bitcoin Trust - Crypto exposure (Core Daily 0DTE)
GLD,1,etf,SPDR Gold Trust - Commodity exposure (Core Daily 0DTE)
SLV,1,etf,iShares Silver Trust - Commodity exposure (Core Daily 0DTE)
SPYU,1,etf,BMO 4x S&P 500 bull - High leverage (Core Daily 0DTE)
SPXL,1,etf,Direxion 3x S&P 500 bull - High leverage (Core Daily 0DTE)
UPRO,1,etf,ProShares 3x S&P 500 bull - High leverage (Core Daily 0DTE)
TQQQ,1,etf,ProShares 3x Nasdaq bull - High leverage (Core Daily 0DTE)
SOXL,1,etf,Direxion 3x Semiconductor bull - High leverage (Core Daily 0DTE)
URTY,1,etf,ProShares 3x Russell 2000 bull - High leverage (Core Daily 0DTE)
TNA,1,etf,Direxion 3x Small Cap bull - High leverage (Core Daily 0DTE)
UMDD,1,etf,ProShares 3x MidCap bull - High leverage (Core Daily 0DTE)
TECL,1,etf,Direxion 3x Technology bull - High leverage (Core Daily 0DTE)
FAS,1,etf,Direxion 3x Financial bull - High leverage (Core Daily 0DTE)
GUSH,1,etf,Direxion 3x Oil & Gas bull - High leverage (Core Daily 0DTE)
LABU,1,etf,Direxion 3x Biotech bull - High leverage (Core Daily 0DTE)
FNGU,1,etf,MicroSectors 3x FANG+ bull - High leverage (Core Daily 0DTE)
WEBL,1,etf,Direxion 3x Internet bull - High leverage (Core Daily 0DTE)
NVDA,2,equity,"AI leader, extreme gamma (Mega-cap/Institutional Momentum)"
AMD,2,equity,ORB monster (Mega-cap/Institutional Momentum)
TSLA,2,equity,Volatility king (Mega-cap/Institutional Momentum)
META,2,equity,Clean momentum (Mega-cap/Institutional Momentum)
AMZN,2,equity,Liquidity + trend (Mega-cap/Institutional Momentum)
AAPL,2,equity,Stable ORB (Mega-cap/Institutional Momentum)
MSFT,2,equity,Structure + flow (Mega-cap/Institutional Momentum)
GOOGL,2,equity,Alphabet - Tech giant (Mega-cap/Institutional Momentum)
AVGO,2,equity,Semiconductor strength (Mega-cap/Institutional Momentum)
ASML,2,equity,Global chip bottleneck (Mega-cap/Institutional Momentum)
ARM,2,equity,High beta (Mega-cap/Institutional Momentum)
SMCI,2,equity,Explosive momentum (Mega-cap/Institutional Momentum)
MRVL,2,equity,Marvell Technology - Semiconductor (Mega-cap/Institutional Momentum)
AMAT,2,equity,Applied Materials - Semiconductor equipment (Mega-cap/Institutional Momentum)
INTC,2,equity,Intel - Chip manufacturer (Mega-cap/Institutional Momentum)
NOW,2,equity,ServiceNow - Cloud platform (Mega-cap/Institutional Momentum)
SNOW,2,equity,Snowflake - Data cloud (Mega-cap/Institutional Momentum)
NFLX,2,equity,Netflix - Streaming leader (Mega-cap/Institutional Momentum)
COST,2,equity,Costco - Retail leader (Mega-cap/Institutional Momentum)
HD,2,equity,Home Depot - Retail giant (Mega-cap/Institutional Momentum)
MSTR,2,equity,MicroStrategy - Bitcoin play (Mega-cap/Institutional Momentum)
SMH,2,etf,VanEck Semiconductor ETF - Sector exposure (Mega-cap/Institutional Momentum)
GDX,2,etf,VanEck Gold Miners ETF - Commodity exposure (Mega-cap/Institutional Momentum)
TSLL,2,etf,Direxion 2x Tesla bull - High leverage (Mega-cap/Institutional Momentum)
MULL,2,etf,T-Rex 2x Micron bull - High leverage (Mega-cap/Institutional Momentum)
AVGG,2,etf,T-Rex 2x Broadcom bull - High leverage (Mega-cap/Institutional Momentum)
